Neuron,F_value,P_value,Significant
Neuron_1,5.117800572536427,0.10454339543693991,False
Neuron_2,1.1055852629838891,1.0,False
Neuron_3,11.469649717395592,0.0001004665081815273,True
Neuron_4,4.492436203800038,0.23196258393039276,False
Neuron_5,7.900658412082341,0.003908819942431052,True
Neuron_6,3.2192353221886174,1.0,False
Neuron_7,2.249861058468948,1.0,False
Neuron_8,3.3512221818484313,1.0,False
Neuron_9,11.208461042502062,0.00012895284509158205,True
Neuron_10,3.5379070966208634,0.8150889062432973,False
Neuron_11,5.229978452873662,0.09082537524196431,False
Neuron_12,24.73329549342356,4.299188757190984e-09,True
Neuron_13,17.815598758767457,4.71036164875552e-07,True
Neuron_14,2.3786527620247337,1.0,False
Neuron_15,10.260644779781396,0.0003264179471934442,True
Neuron_16,3.8613982766065598,0.5296554570132948,False
Neuron_17,17.900649543702013,4.418226797511444e-07,True
Neuron_18,9.113812646837896,0.0010565635603090968,True
Neuron_19,7.655665955865687,0.005135281938910501,True
Neuron_20,5.000333428379004,0.1212252750956839,False
Neuron_21,24.70995395032988,4.361207485141052e-09,True
Neuron_22,1.770425023065428,1.0,False
Neuron_23,10.720341511008609,0.00020709406278061968,True
Neuron_24,3.419831805374206,0.9551330983313642,False
Neuron_25,4.859552162402596,0.14490733593217864,False
Neuron_26,12.300905604587829,4.618386109471377e-05,True
Neuron_27,7.6051024061640335,0.005434865119229527,True
Neuron_28,2.3546111104869,1.0,False
Neuron_29,0.4066860283712438,1.0,False
Neuron_30,27.085728083748958,1.0612382585979872e-09,True
Neuron_31,10.015341981536858,0.00041763213526720247,True
Neuron_32,2.508498179326395,1.0,False
Neuron_33,0.9278937845042656,1.0,False
Neuron_34,0.44275797482591,1.0,False
Neuron_35,4.154859051843463,0.35984140250129626,False
Neuron_36,58.77965640808968,1.6172372865557015e-15,True
Neuron_37,7.058261890315519,0.010119086442214036,True
Neuron_38,4.386965956216157,0.26589594629231184,False
Neuron_39,11.35579419157878,0.00011197906769447337,True
Neuron_40,8.22298719788187,0.002742141822103763,True
Neuron_41,3.2304496009504837,1.0,False
Neuron_42,8.796933533867584,0.0014769599183730622,True
Neuron_43,1.5269203056104699,1.0,False
Neuron_44,2.9525014764968422,1.0,False
Neuron_45,3.392508346658832,0.990914657947233,False
Neuron_46,4.347702863393451,0.2798024021839731,False
Neuron_47,0.5248443984976475,1.0,False
Neuron_48,9.4061325412804,0.0007788780045397163,True
Neuron_49,1.7130582335394056,1.0,False
Neuron_50,2.762507197244522,1.0,False
Neuron_51,0.9446304666140724,1.0,False
Neuron_52,5.697589345433903,0.05091476480079071,False
Neuron_53,3.0742316064707254,1.0,False
Neuron_54,4.8080614430543545,0.15472279214362444,False
Neuron_55,0.28473814954659027,1.0,False
Neuron_56,0.4687939455339996,1.0,False
Neuron_57,9.825312744110311,0.0005063707176684086,True
Neuron_58,2.9404417542086922,1.0,False
Neuron_59,12.573506252362781,3.5991678655509226e-05,True
Neuron_60,11.912799337175544,6.617378749151462e-05,True
