Time Point,Window_10,Window_20
0,0.30215014073176816,0.24043615091170126
1,0.301394896557196,0.2456946192618037
2,0.3065043355620996,0.24937312346372048
3,0.30730278562078095,0.25366917525481586
4,0.30951979953897096,0.2626566979997062
5,0.3264388625053079,0.2759546556032115
6,0.3500375338422757,0.2842642145741088
7,0.35141557753027525,0.29917082049654364
8,0.3706173564440407,0.31249158481822564
9,0.3688636013804619,0.3205150980967856
10,0.38579343791324855,0.324694978134546
11,0.3698526220656148,0.31802169840006633
12,0.3744524214443812,0.3202974385360458
13,0.3753106394041394,0.32389107675701595
14,0.3907854840290384,0.3303614029521063
15,0.40450285045242534,0.3112874824636249
16,0.39295204209039525,0.315310588908199
17,0.4039265552552615,0.3125524871494172
18,0.4167499932492961,0.30895101275503173
19,0.40526183823542306,0.31537027273924967
20,0.3711886205560567,0.30773996953045546
21,0.3645221142634497,0.30151693879794156
22,0.3692118999747766,0.3109036301605001
23,0.36341050038552253,0.3104609324423996
24,0.3777742761884154,0.31877678022758144
25,0.35237201707499305,0.30745947927334655
26,0.3809516362158845,0.32158511911197357
27,0.38881817504774774,0.3184688100345913
28,0.39749547121443773,0.327737620782397
29,0.4113844434745565,0.33666870380898356
30,0.4460260306745209,
31,0.41932531037601734,
32,0.4079862321011631,
33,0.39398386475690156,
34,0.39057772128230345,
35,0.3527455444300277,
36,0.36607067460662696,
37,0.3560029217306547,
38,0.3483909609209557,
39,0.35973187022217457,
