Behavior,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Neuron_50,Neuron_51,Neuron_52,Neuron_53,Neuron_54,Neuron_55,Neuron_56
Close,0.6340340273952281,0.10875128368837342,0.09829620145575049,0.14932173105334634,0.013756665379110035,0.036362217052120734,0.4562408869663049,0.1573172428572521,0.01865364362705353,0.062316826624121954,0.7501185886385624,0.6478822902605698,0.7739870384638788,0.018676980144785325,0.04385144332569928,0.06339592920227217,0.052500609245019966,0.22208288046607758,0.21799273323149784,0.2575249161178503,0.03713690437517822,0.21675219598182693,0.07057777463887359,0.11802566662588482,0.1491902413452082,0.008114976124409264,0.3011623766017172,0.031106042794366778,0.2444628724394346,0.06118561996668762,0.23537904449652322,0.19936255255467664,0.3893978623526002,0.43995748071711444,0.09995926083405815,0.6777902827600544,0.10948831307210641,0.09738028755467058,0.05036024379503819,0.2500485809512713,0.05250948536028988,0.3836203305539544,0.5294263993769204,0.27611794435710585,0.1866265520798972,0.09115522232869266,0.166064880868405,0.12282397544077005,0.10215595627738633,0.2699822261062554,0.10881050107554201,0.1830269708579636,0.3418311641058762,0.4476849092400756,0.30802931285342416,0.3278535759911007
Close-to-Middle,0.4762406281614953,0.37543273405280314,0.28431069451402285,0.49472120614029885,0.36871116519528,0.07438081906696195,0.0954934939869969,0.46011336330849,0.03716304389519152,0.3426260352772947,0.12209624945809348,0.2708113704241509,0.0055749330142949895,0.24321873511579062,0.43506540443072567,0.5381813140615207,0.6915767824394534,0.060746354023515324,0.49379505721740535,0.1331736699336459,0.15506312005735456,0.4479931791631307,0.001830431081088415,0.1867506277249122,0.033689109995587954,0.36203098018966345,0.10704181360442637,0.14372044045017915,0.11346992816522787,0.0008468497363808276,0.26331852038790815,0.32038295995382016,0.15337759987602556,0.04833078734380683,0.29567602092239087,0.015811724236512986,0.4890470686586132,0.00893776575672919,0.4793156329660085,0.2769491372290913,0.036219776870876866,0.33311085736287915,0.04027825896446086,0.3943430884670535,0.20666244424210584,0.4502605719899766,0.35586779275986075,0.17854333347343435,0.00817379495865233,0.14765473053403658,0.08239344117036501,0.4053838138636561,0.047437877692745954,0.16506861675967371,0.015592717480976315,0.23292815037736966
Close-to-Open,0.7147891905691816,0.5885043004814817,1.0350438109471587,1.5876576946337233,1.136819384472062,0.9332222600208598,0.45839022363065623,1.325006278861958,0.6088171274108474,0.05538243563066992,0.7786894078414841,1.1421410224452664,1.1629220435784375,0.0577954370989005,0.5607841232364181,0.4436256239914861,0.03723311560736255,0.8590947265223838,0.2436154820055562,0.0839937207836063,0.47555012143417136,0.03860881655890441,0.5385428988061676,0.7295880702754827,0.6198640849995343,0.9785116025845311,0.42446751650139725,0.4595515428808104,0.8203674564047121,1.0566755037416906,0.7214148826191554,0.8353883197817296,0.9469160679019005,0.7034516564419013,0.050825731304316384,0.9333750909601843,0.5685045363827606,0.707408508095716,0.44373833226579124,0.8559445470568682,0.7786377567617409,0.7198342589325374,0.3152277653182677,1.0556234026026934,0.7794893673962315,0.031573401721313885,0.4774818822505417,0.8341750303672295,0.516605546654736,0.6040910419216632,0.3251269337620916,0.5647073514099515,0.8840223511023464,0.8506589824766378,0.5121914898928264,0.7417836400565899
Middle,0.16227176104115557,0.17303905181646181,0.3093390069200899,0.07987087044787147,0.3359094854605073,0.0817610243283916,0.02997394955072369,0.11377499953780505,0.13586517705102077,0.11466646613633118,0.7130516688236586,0.1275898039410533,0.4343625089297232,0.07485816109688749,0.023767260498077744,0.0954144624385536,0.17216034746415,0.030787277631821458,0.3219902144987897,0.2132379800960602,0.0302695724933471,0.21388543080515338,0.32772820239377615,0.2730314591360885,0.2185670691291977,0.29212333636469207,0.05393535087826415,0.4244407436591214,0.01677241883360618,0.32729280694309926,0.09012983077328908,0.018775876399310488,0.07649745861441203,0.009873103635241598,0.048606080613420186,0.4176421324535436,0.050714518019241,0.17557584234859588,0.15293768165184823,0.0710842499096085,0.17751652427290845,0.051476904821925844,0.3402710430295627,0.21520012118033205,0.14702535713214637,0.08358825595034752,0.10773338067811995,0.04817075481312644,0.4261823168955227,0.11832144063888464,0.08062176114506543,0.169777711855157,0.03200720395937957,0.10464058471786758,0.025500620968077186,0.0203089744428308
Middle-to-Close,1.4913849584365715,0.40402553102244065,1.230775265688569,0.25517927287408243,1.0225239389099876,0.9781457424585135,0.7580599228674043,0.8149823737280989,0.17119822121611955,0.016688048894849563,1.4692116768291368,1.3099833574863167,1.265991944310408,0.32249117031710145,0.804755213055491,1.1261616570203705,1.0657989385581752,0.9566137803310519,0.30851072393044204,1.0238182180739936,0.5499656542629803,0.3066532946102944,0.43982209040378284,0.29551389917400833,0.1433833619021131,0.13625899650676326,0.1662340453425123,0.10838844928604285,1.001323931801089,0.636292330708283,1.1456152361116587,0.9005556469053108,0.5870038652208552,0.6051085185705288,1.0922701090804674,0.2551631606983959,1.1663271664496557,1.1813120062363853,0.9026885344270702,0.8959392762651106,0.5811045947439197,1.0874345642568841,1.3561649613332434,0.2549363062636471,0.8490652513672194,0.9138567958723491,0.9492172031469606,0.3209116645103886,0.1568733688306443,0.33285801330914333,0.5820973633413794,1.0150000680777496,0.7936575817327775,1.1364079875001705,0.9431684968277738,0.9250182641064302
Middle-to-Open,0.12955427036100103,0.2936203120598497,0.20775702026339432,0.34509732248800956,0.06947439375847228,0.21824461111001048,0.320236523001078,0.3447706470503714,0.22738938628272687,0.6648125914665508,0.6996718021884065,0.4543696151723566,0.45190274979389283,0.1433293845255601,0.42856383573263057,0.12205008540289494,0.05048494631700139,0.18738608494496978,0.09366043444494453,0.6337130455695397,0.4394940661235504,0.11510484475918462,0.3587236857891878,0.06656908386139926,0.278866703590064,0.16063158528522967,0.2495354521282945,0.3307541594750527,0.025293795353633172,0.3816890119975842,0.08123222774765147,0.11030610700281533,0.06411704488719702,0.4406889877369683,0.4175293443848142,0.7749944278319048,0.19704371378837923,0.49952405251891135,0.19567157087392706,0.22294433042728623,0.06408985786962504,0.37287795158492654,0.36297307437050025,0.25196237374083547,0.24886860509004619,0.2002559124586322,0.050675132103942123,0.2793672200834056,0.18080855099827173,0.3149919920779029,0.3476290447814589,0.27260008701622257,0.1953099871409413,0.3655098786427174,0.2079529446781719,0.21993934571543522
Middle-to-OpenPeer,0.2873916371527256,0.7386902672326392,0.0686417292278768,0.6277170720979912,1.0853386315318532,0.7186664756866448,0.21466191957068395,0.15185624143762513,0.15681451791760367,0.21005005164376894,0.3662427891357438,0.8028386313514829,0.2598311085188696,0.0007878336885691287,0.09542338659583026,0.2767267678949975,0.5830660102074109,0.04246755278682592,0.6141404233436413,0.6316176149429262,0.03257589844569329,0.7218565684554883,0.19485993571139165,0.15633762230747894,0.03939415179908951,0.02099231610785333,0.24274452112424622,0.06366835110519944,0.540362732687409,0.10349373377483045,0.14665185999879493,0.08268843709935461,0.19416423427442317,0.15068087208554046,0.40899867099948506,0.09700138946737107,0.07367552468240512,0.36351094032180864,1.6898087788858684,0.056948261274008226,0.49662655875297357,0.36456104130092476,0.14693654936688735,0.27882131585795095,1.2629397213946276,0.7168208909697984,0.5163036370963475,0.13903107391482317,0.7458816550168245,0.5407794462679112,0.8131424453073963,0.07079589067165933,0.5105261092298065,0.3314002115500778,0.35879127646890635,0.1270505456632244
Open,0.6053267276769896,0.18471751883199725,0.2158075952694564,0.06099724501933682,0.09585896471517963,0.42489769605370037,0.4872830972656455,0.06616256941204844,0.0804878083336702,0.22870676843616414,0.9746817312259332,1.0835733851803397,1.127987309448427,0.06271500762784583,0.23043965782933326,0.24714623892814472,0.0045828542806458815,0.4344264743956623,0.004366774730463229,0.02005178782814915,0.4117318408567434,0.2883534206225025,0.200038363241391,0.5757911354990136,0.1363511943111336,0.4564508509448407,0.6082695185795648,0.013600309443330402,0.7847134894900787,0.2158559309102714,0.48295721725991797,0.5258501102414707,0.6644906250757,0.012613971640139788,0.027575139976024985,1.1450696785877734,0.3845992511565338,0.4262134869211682,0.41430843555175134,0.6949679449399438,0.3142645400170856,0.4558914657948123,0.9158676600927281,0.891574916263885,0.5988600204328662,0.04920871573456338,0.4296343991606296,0.21700528635908983,0.24417210158638167,0.04631851423903632,0.15043251074746464,0.3535393533781596,0.42494037651110633,0.5263726749439589,0.4458891005403082,0.5377876063763991
Open-Peer,1.0516731556858203,0.32110742239078965,0.05873550474407694,0.016309321463309,0.3156985716263514,0.46809027717855634,0.9753472932619901,0.12562170823419208,0.049221153890897554,0.4561438978373999,1.0806826087729837,1.4094447698799615,1.1583595908387914,0.07497654828899504,0.3132860797899289,0.17957788188815957,0.32543386708480576,0.5118714764861187,0.034869613103076125,0.14928740308885222,0.4624272088032209,0.12322691498544815,0.44926909888048877,0.035475372031439564,0.1541638466191995,0.1038832836136013,0.6058457355947908,0.6167630374327467,0.789159923815922,0.26680450679183154,0.26870222278662964,0.6765668405064899,0.6304316169106858,0.6130193889294262,0.03370309216851949,0.975827311006501,0.5963756849696743,0.1422261873744588,0.32604813332124455,0.5349554762403973,0.05460605255567425,0.7011874846938627,0.8177024792059527,1.1242468778874906,0.45891851877292433,0.22088204073727788,0.42949383336271524,0.02289290439462322,0.21865703390892266,0.7636293789375035,0.3681873341316437,0.11166901729102977,0.7075105028707966,0.6071945908134828,0.3255551228875436,0.3974658610562293
,2.5358497586739905,0.07313668557273374,1.57561362676203,0.6795007353654106,1.0809935184852253,0.9297586846125031,1.3818964052492564,0.061379207625077634,0.2295677098164999,0.37615183652631584,0.30269384483916295,1.7082992434155084,0.9611460918811059,0.015881187639334625,0.4452709847915744,0.13008098441352398,0.8554161564491012,0.04548097187419016,0.47311780231629863,0.7755539331939847,0.45451289698058145,0.4247646864688918,0.30027855796684105,0.330575319854878,1.130419877703535,0.7807640865273254,0.46715906744609087,1.0594259974692626,0.04026955134004155,2.080117809403955,0.3040568623072082,0.11994424248114344,0.48407431602640344,4.2611878205258735,0.34708651552086,1.1277465015651154,0.13400118962547125,1.4108235381515146,0.7969621147455141,0.15757100929765147,1.7313014060274374,0.8598900646079535,0.23211439251274613,1.438812723010881,0.9125693543784928,0.8190663925121382,0.8538767473271681,0.19267810313248435,1.0008471813499438,1.1108124465047946,0.9838762023384628,1.9462189114437354,0.9168197590437961,0.8546815586179205,0.7110192056459985,0.8157073725002033
