relative_x,relative_y
3.518350381182238640e-01,2.245895529090549403e-01
4.441615906217675214e-01,2.613860897055917953e-01
4.829387426732557609e-01,2.462345745540766295e-01
5.678791709765159679e-01,1.726415009610030304e-01
6.306612266789256571e-01,2.332475615670635827e-01
6.842106271309810195e-01,1.141999425194445972e-01
7.389646153232668491e-01,1.419755071048253992e-01
7.389646153232668491e-01,2.163387716521389670e-01
7.646423477168903249e-01,2.473234652135197498e-01
8.001380366139582145e-01,2.189946025288288245e-01
7.140421103529851488e-01,3.030959136240048979e-01
6.951614247694382076e-01,3.438186537332481030e-01
8.469621368611542911e-01,3.898530555958707455e-01
7.616214380235227788e-01,4.651015971020809325e-01
8.069350834240350823e-01,5.005126754579446446e-01
8.348784980876842177e-01,5.908109252653969135e-01
6.913852876527288860e-01,5.527440160328433993e-01
7.072450635429082810e-01,6.094017414022252499e-01
6.936509699227546566e-01,4.296905187462173870e-01
6.506030067922679017e-01,4.429696731296661749e-01
6.022684516983881631e-01,4.916599058689786750e-01
6.339880034787467311e-01,6.085164644433287418e-01
5.811220838448157844e-01,5.775317708819479590e-01
5.426054852543804596e-01,6.386158810458127943e-01
4.610409235334585465e-01,6.368453271280195560e-01
4.497125121833303596e-01,7.067822068808501390e-01
4.006227296661087900e-01,7.085527607986434884e-01
5.161725254374150973e-01,7.174055303876093470e-01
5.886743580782344276e-01,7.174055303876093470e-01
7.034689264261989594e-01,7.598988244146456239e-01
4.746350171536122264e-01,8.050479493183717583e-01
5.161725254374150973e-01,9.369542161939637959e-01
3.500224923022035028e-01,5.819581556764310548e-01
3.764554521191689207e-01,5.022832293757378830e-01
3.439806729154685772e-01,3.703769625001457899e-01
3.870286360459552211e-01,3.455892076510412858e-01
3.175477130985030483e-01,3.092928523362810656e-01
2.495772449977347041e-01,3.438186537332481030e-01
2.760102048147002329e-01,4.757249206088401405e-01
